date,close,adj_close,volume,unadjusted_volume
2006-05-05,25.9899998,21.5699444,4000.0,4000.0
2006-05-08,25.8899994,21.4869499,16800.0,16800.0
2006-05-09,25.8649998,21.4662037,21600.0,21600.0
2006-05-10,25.9850006,21.5657959,119000.0,119000.0
2006-05-11,25.6949997,21.3251076,22600.0,22600.0
2006-05-12,25.1450005,20.8686504,8600.0,8600.0
2006-05-15,25.0799999,20.8147068,6200.0,6200.0
2006-05-16,25.0400009,20.7815113,10600.0,10600.0
2006-05-17,24.4500008,20.291851,71600.0,71600.0
2006-05-18,24.2049999,20.0885201,5000.0,5000.0
2006-05-19,24.3299999,20.1922646,23400.0,23400.0
2006-05-22,24.3850002,20.2379093,17400.0,17400.0
2006-05-23,24.2000008,20.0843697,11000.0,11000.0
2006-05-24,24.0049992,19.9225273,1050200.0,1050200.0
2006-05-25,24.1200008,20.0179768,5800.0,5800.0
2006-05-26,24.2600002,20.1341591,2600.0,2600.0
2006-05-30,23.9449997,19.8727398,71200.0,71200.0
2006-05-31,24.0699997,19.9764786,7400.0,7400.0
2006-06-01,24.4150009,20.262804,6200.0,6200.0
2006-06-02,24.3999996,20.2503529,4000.0,4000.0
2006-06-05,24.0650005,19.9723225,7400.0,7400.0
2006-06-06,23.5699997,19.561512,11600.0,11600.0
2006-06-07,23.6450005,19.6237564,19200.0,19200.0
2006-06-08,23.5900002,19.5781097,9800.0,9800.0
2006-06-09,23.5,19.5034142,2200.0,2200.0
2006-06-12,22.8799992,18.9888592,68000.0,68000.0
2006-06-13,22.5499992,18.7149696,646000.0,646000.0
2006-06-14,22.8449993,18.9598026,3800.0,3800.0
2006-06-15,23.6000004,19.5864124,19800.0,19800.0
2006-06-16,23.5550003,19.5490704,37200.0,37200.0
2006-06-19,23.2099991,19.2627392,4400.0,4400.0
2006-06-20,23.1299992,19.1963367,6400.0,6400.0
2006-06-21,23.4950008,19.4992695,11000.0,11000.0
2006-06-22,23.3250008,19.373436,6000.0,6000.0
2006-06-23,23.3250008,19.373436,6800.0,6800.0
2006-06-26,23.2549992,19.3152924,14800.0,14800.0
2006-06-27,22.9899998,19.09519,5000.0,5000.0
2006-06-28,22.9050007,19.0245838,4000.0,4000.0
2006-06-29,23.5200005,19.5353947,8600.0,8600.0
2006-06-30,23.5849991,19.5893917,9200.0,9200.0
2006-07-03,23.6849995,19.6724434,3000.0,3000.0
2006-07-05,23.5349998,19.5478497,57600.0,57600.0
2006-07-06,23.6550007,19.6475258,595600.0,595600.0
2006-07-07,23.4249992,19.4564934,305000.0,305000.0
2006-07-10,23.5,19.5187893,143400.0,143400.0
2006-07-11,23.9300003,19.8759327,67000.0,67000.0
2006-07-12,23.7250004,19.7056713,53000.0,53000.0
2006-07-13,23.3500004,19.3941917,47000.0,47000.0
2006-07-14,23.0049992,19.1076431,21000.0,21000.0
2006-07-17,22.8500004,18.9789028,37400.0,37400.0
2006-07-18,22.9150009,19.0328865,17400.0,17400.0
2006-07-19,23.5799999,19.5852356,121400.0,121400.0
